Song_Id,track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,release_date,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,log_streams,trending,trend_score
4137,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,553,147,141381703.0,43,263,45,10,826.0,125,B,Major,2023-07-14,66.94701986754967,89.0,83.0,26.994487320837926,0.0,8.0,4.0,18.76697391125858,False,0.03
3628,LALA,Myke Towers,1,1474,48,133716286.0,48,126,58,14,382.0,92,C#,Major,2023-03-23,71.0,61.0,74.0,7.0,0.0,10.0,10.101545253863135,18.71123085215489,False,0.01
3628,LALA,Myke Towers,1,1474,48,133716286.0,48,126,58,14,382.0,92,C#,Major,2023-03-23,80.0,24.0,65.0,26.994487320837926,0.0,9.0,4.0,18.71123085215489,False,0.02
3520,vampire,Olivia Rodrigo,1,1397,113,140003974.0,94,207,91,14,949.0,138,F,Major,2023-06-30,51.0,32.0,53.0,17.0,0.0,31.0,6.0,18.757181373027652,False,0.05
3362,Cruel Summer,Taylor Swift,1,7858,100,800840817.0,116,207,125,12,548.0,170,A,Major,2019-08-23,55.0,58.0,72.0,11.0,0.0,11.0,15.0,20.50117275619475,False,0.4
3914,WHERE SHE GOES,Bad Bunny,1,3133,50,303236322.0,84,133,87,15,425.0,144,A,Minor,2025-05-18,65.0,23.0,80.0,14.0,63.0,11.0,6.0,19.530023003369852,False,0.04
3423,Sprinter,"Dave, Central Cee",2,2186,91,183706234.0,67,213,88,17,946.0,141,C#,Major,2023-06-01,92.0,66.0,58.0,19.0,0.0,8.0,24.0,19.028848490817857,False,0.03
3395,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,3090,50,725980112.0,34,222,43,13,418.0,148,F,Minor,2023-03-16,67.0,83.0,76.0,48.0,0.0,8.0,3.0,20.403033179851903,False,0.02
3395,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,3090,50,725980112.0,34,222,43,13,418.0,148,F,Minor,2023-03-16,67.0,11.0,76.0,8.0,47.0,30.0,7.0,20.403033179851903,False,0.03
2708,Columbia,Quevedo,1,714,43,58149378.0,25,89,30,13,194.0,100,F,Major,2023-07-07,67.0,26.0,71.0,37.0,0.0,11.0,4.0,17.878525757594193,False,0.02
4820,fukumean,Gunna,1,1096,83,95217315.0,60,210,48,11,953.0,130,C#,Minor,2023-05-15,85.0,22.0,62.0,12.0,0.0,28.0,9.0,18.371672373977777,False,0.04
4896,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2953,44,553634067.0,49,110,66,13,339.0,170,D,Minor,2023-03-17,81.0,56.0,48.0,21.0,0.0,8.0,33.0,20.132014499391627,False,0.02
